athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1559471,8/8/2024,Gold Medal,Wrestling,Bulgaria,Semen Sergeevich NOVIKOV,12/11/1997,Male,0,0,3,1,3,7
1559512,8/8/2024,Silver Medal,Sailing,France,Lauriane NOLOT,12/9/1998,Female,0,0,16,26,22,64
1559558,8/2/2024,Bronze Medal,Sailing,France,Sarah STEYAERT,11/27/1986,Female,0,0,16,26,22,64
1559559,8/2/2024,Bronze Medal,Sailing,France,Charline PICON,12/23/1984,Female,0,0,16,26,22,64
1560673,8/10/2024,Bronze Medal,Sport Climbing,Austria,Jessica PILZ,11/22/1996,Female,165,0,2,0,3,5
1560677,8/9/2024,Bronze Medal,Sport Climbing,Austria,Jakob SCHUBERT,12/31/1990,Male,175,0,2,0,3,5
1560759,7/30/2024,Silver Medal,Artistic Gymnastics,Italy,Giorgia VILLA,2/23/2003,Female,0,0,12,13,15,40
1560760,7/30/2024,Silver Medal,Artistic Gymnastics,Italy,Elisa IORIO,3/21/2003,Female,0,0,12,13,15,40
1560761,7/30/2024,Silver Medal,Artistic Gymnastics,Italy,Angela ANDREOLI,6/6/2006,Female,0,0,12,13,15,40
1560762,8/5/2024,Bronze Medal,Artistic Gymnastics,Italy,Manila ESPOSITO,11/2/2006,Female,0,0,12,13,15,40
1560762,7/30/2024,Silver Medal,Artistic Gymnastics,Italy,Manila ESPOSITO,11/2/2006,Female,0,0,12,13,15,40
1560781,7/31/2024,Silver Medal,Rowing,Italy,Luca RAMBALDI,12/9/1994,Male,0,0,12,13,15,40
1561138,7/28/2024,Bronze Medal,Judo,Republic of Moldova,Denis VIERU,3/10/1996,Male,0,0,0,1,3,4
1561316,8/8/2024,Silver Medal,Hockey,Germany,Tom GRAMBUSCH,8/4/1995,Male,0,0,12,13,8,33
1561318,8/8/2024,Silver Medal,Hockey,Germany,Niklas WELLEN,12/14/1994,Male,0,0,12,13,8,33
1561319,8/8/2024,Silver Medal,Hockey,Germany,Mats GRAMBUSCH,11/4/1992,Male,0,0,12,13,8,33
1561320,8/8/2024,Silver Medal,Hockey,Germany,Marco MILTKAU,8/18/1990,Male,0,0,12,13,8,33
1561321,8/8/2024,Silver Medal,Hockey,Germany,Mathias MUELLER,4/3/1992,Male,0,0,12,13,8,33
1561322,8/8/2024,Silver Medal,Hockey,Germany,Christopher RUEHR,12/19/1993,Male,0,0,12,13,8,33
1561323,8/8/2024,Silver Medal,Hockey,Germany,Lukas WINDFEDER,5/11/1995,Male,0,0,12,13,8,33
1561324,8/8/2024,Silver Medal,Hockey,Germany,Martin ZWICKER,2/27/1987,Male,0,0,12,13,8,33
1561325,8/8/2024,Silver Medal,Hockey,Germany,Johannes GROSSE,1/7/1997,Male,0,0,12,13,8,33
1561360,8/8/2024,Silver Medal,Hockey,Germany,Paul-Philipp KAUFMANN,6/21/1996,Male,0,0,12,13,8,33
1561362,8/8/2024,Silver Medal,Hockey,Germany,Thies PRINZ,7/7/1998,Male,0,0,12,13,8,33
1561365,8/8/2024,Silver Medal,Hockey,Germany,Teo HINRICHS,9/17/1999,Male,0,0,12,13,8,33
1561374,8/8/2024,Silver Medal,Hockey,Germany,Malte HELLWIG,10/23/1997,Male,0,0,12,13,8,33
1561377,8/8/2024,Silver Medal,Hockey,Germany,Hannes MUELLER,5/18/2000,Male,0,0,12,13,8,33
1561381,8/8/2024,Silver Medal,Hockey,Germany,Justus WEIGAND,4/20/2000,Male,0,0,12,13,8,33
1561386,8/8/2024,Silver Medal,Hockey,Germany,Moritz LUDWIG,9/14/2001,Male,0,0,12,13,8,33
1561402,8/8/2024,Silver Medal,Hockey,Germany,Jean-Paul DANNEBERG,11/8/2002,Male,0,0,12,13,8,33
1561413,8/8/2024,Silver Medal,Hockey,Germany,Gonzalo PEILLAT,8/12/1992,Male,0,0,12,13,8,33
1562157,8/9/2024,Bronze Medal,Wrestling,Uzbekistan,Gulomjon ABDULLAEV,11/11/1998,Male,0,0,8,2,3,13
1562164,8/10/2024,Gold Medal,Wrestling,Uzbekistan,Razambek Salambekovitch JAMALOV,6/1/1998,Male,0,0,8,2,3,13
1562400,8/3/2024,Bronze Medal,Tennis,Italy,Lorenzo MUSETTI,3/3/2002,Male,185,0,12,13,15,40
